Abrasives and Nonmetallic Minerals Manufacturing,,,
Accommodation,,,
Information Services,19,,
Insurance,51,,
Insurance Agencies and Brokerages,51,,
Insurance and Employee Benefit Funds,51,,
Insurance Carriers,51,,
Interior Design,10,,
International Affairs,144,,
International Trade and Development,,,
Internet Marketplace Platforms,122,,
Internet News,122,,
Internet Publishing,122,,
Interurban and Rural Bus Services,,,
Investment Advice,,,
Investment Banking,52,,
Investment Management,53,,
IT Services and IT Consulting,,,
IT System Custom Software Development,,,
IT System Data Services,,,
IT System Design Services,10,,
IT System Installation and Disposal,,,
IT System Operations and Maintenance,,,
IT System Testing and Evaluation,,,
IT System Training and Support,,,
Janitorial Services,,,
Landscaping Services,,,
Language Schools,,,
Laundry and Drycleaning Services,,,
Law Enforcement,139,,
Law Practice,82,,
Leasing Non-residential Real Estate	,80,,
Leasing Residential Real Estate,80,,
Leather Product Manufacturing,,,
Legal Services,83,,
Legislative Offices,146,,
Libraries,112,,
Lime and Gypsum Products Manufacturing,,,
Loan Brokers,,,
Machinery Manufacturing,39,,
Magnetic and Optical Media Manufacturing,,,
Manufacturing,,,
Maritime Transportation,125,,
Market Research,99,,
Marketing Services,,,
Mattress and Blinds Manufacturing,,,
Measuring and Control Instrument Manufacturing,,,
Meat Products Manufacturing,,,
Media and Telecommunications,77,,
Media Production,133,,
Medical and Diagnostic Laboratories,,,
Medical Equipment Manufacturing,,,
Medical Practices,69,,
Mental Health Care,70,,
Metal Ore Mining,,,
Metal Treatments,,,
Metal Valve, Ball, and Roller Manufacturing,
Metalworking Machinery Manufacturing,39,,
Military and International Affairs,144,,
Mining,,,
Mobile Computing Software,,,
Mobile Food Services,,,
Mobile Gaming Apps,,,
Motor Vehicle Manufacturing,,,
Motor Vehicle Parts Manufacturing,,,
Movies and Sound Recording,,,
Movies, Videos, and Sound,
Museums,,,
Museums, Historical Sites, and Zoos,
Musicians,136,,
Nanotechnology Research,5,,
Natural Gas Distribution,,,
Natural Gas Extraction,,,
Newspaper Publishing,105,,
Non-profit Organizations,,,
Nonmetallic Mineral Mining,,,
Nonresidential Building Construction,8,,
Nuclear Electric Power Generation,,,
Nursing Homes and Residential Care Facilities,,,
Office Administration,,,
Office Furniture and Fixtures Manufacturing,90,,
Oil and Coal Product Manufacturing,,,
Oil and Gas,,,
Oil Extraction,,,
Oil, Gas, and Mining,
Online and Mail Order Retail,25,,
Online Audio and Video Media,,,
Operations Consulting,,,
Optometrists,,,
Outpatient Care Centers,,,
Outsourcing and Offshoring,,,
Packaging and Containers Manufacturing,,,
Paint, Coating, and Adhesive Manufacturing,
Paper and Forest Product Manufacturing,,,
Pension Funds,,,
Performing Arts,64,,
Performing Arts and Spectator Sports,64,,
Periodical Publishing,105,,
Personal and Laundry Services,,,
Personal Care Products Manufacturing,,,
Personal Care Services,,,
Pet Services,,,
Pharmaceutical Manufacturing,,,
Philanthropic Fundraising Services,109,,
Photography,65,,
Physical, Occupational and Speech Therapists,,
Physicians,,,
Pipeline Transportation,,,
Plastics and Rubber Product Manufacturing,43,,
Plastics Manufacturing,43,,
Political Organizations,147,,
Postal Services,,,
Primary and Secondary Education,,,
Primary Metal Manufacturing,,,
Printing Services,103,,
Professional Organizations,,,
Professional Services,,,
Professional Training and Coaching,,,
Public Assistance Programs,,,
Public Health,,,
Public Policy Offices,148,,
Public Relations and Communications Services,,,
Public Safety,141,,
Racetracks,,,
Radio and Television Broadcasting,,,
Rail Transportation,,,
Railroad Equipment Manufacturing,,,
Ranching,98,,
Ranching and Fisheries,98,,
Real Estate,80,,
Real Estate Agents and Brokers,80,,
Real Estate Equipment and Rental Services,80,,
Recreational Facilities,,,
Religious Institutions,117,,
Renewable Energy Equipment,,,
Renewable Energy Power Generation,,,
Renewable Energy Semiconductor Manufacturing,,,
Repair and Maintenance,,,
Research Services,5,,
Restaurants,59,,
Retail,25,,
Retail Apparel and Fashion,25,,
Retail Appliances,25, and Electrical Equipment,
Retail Art Dealers,25,,
Retail Art Supplies,25,,
Retail Books and Printed News,25,,
Retail Building Materials and Garden Equipment,25,,
Retail Florists,25,,
Retail Furniture and Home Furnishings,90,,
Retail Gasoline,25,,
Retail Groceries,25,,
Retail Health and Personal Care Products,25,,
Retail Luxury Goods and Jewelry,25,,
Retail Motor Vehicles,25,,
Retail Musical Instruments,136,,
Retail Office Equipment,25,,
Retail Office Supplies and Gifts,25,,
Retail Recyclable Materials and Used Merchandise,25,,
Reupholstery and Furniture Repair,90,,
Rubber Products Manufacturing,,,
Satellite Telecommunications,77,,
Savings Institutions,,,
School and Employee Bus Services,,,
Seafood Product Manufacturing,,,
Secretarial Schools,,,
Securities and Commodity Exchanges,,,
Security and Investigations,,,
Security Guards and Patrol Services,,,
Security System Services,,,
Semiconductor Manufacturing,,,
Services for Renewable Energy,,,
Services for the Elderly and Disabled,,,
Sheet Music Publishing,136,,
Shipbuilding,46,,
Shuttles and Special Needs Transportation Services,,,
Sightseeing,,,
Skiing Facilities,,,
Soap and Cleaning Product Manufacturing,,,
Social Networking Platforms,,,
Software Development,,,
Solar Electric Power Generation,,,
Sound Recording,,,
Space Research and Technology,5,,
Specialty Trade Contractors	Manufacturing,,,
Spectator Sports,61,,
Sporting Goods Manufacturing,92,,
Sports and Recreational Instruction,61,,
Sports Teams and Clubs,61,,
Spring and Wire Products Manufacturing,,,
Staffing and Recruiting,,,
Steam and Air-Conditioning Supply,,,
Strategic Management Services,,,
Subdivision of Land,,,
Sugar and Confectionary Product Manufacturing,,,
Taxi and Limousine Services,,,
Technical and Vocational Training,,,
Technology,122,,
Technology, Information and Media,,
Telecommunications,77,,
Telecommunications Carriers,77,,
Telephone Call Centers,,,
Temporary Help Services,,,
Textile Manufacturing,,,
Theater Companies,,,
Think Tanks,118,,
Tobacco Manufacturing,93,,
Translation and Localization,,,
Transportation Equipment Manufacturing,,,
Transportation Programs,,,
Transportation, Logistics, Supply Chain and Storage,
Travel Arrangements,,,
Truck Transportation,,,
Trusts and Estates,,,
Turned Products and Fastener Manufacturing,,,
Urban Transit Services,,,
Utilities,30,,
Utilities Administration,30,,
Utility System Construction,8,,
Vehicle Repair and Maintenance,,,
Venture Capital and Private Equity Principals,,,
Veterinary Services,72,,
Vocational Rehabilitation Services,,,
Warehousing and Storage,128,,
Waste Collection,,,
Waste Treatment and Disposal,,,
Water Supply and Irrigation Systems,,,
Water, Waste, Steam, and Air Conditioning Services
Wellness and Fitness Services,,,
Wholesale,27,,
Wholesale Alcoholic Beverages,27,,
Wholesale Apparrel and Sewing Supplies,27,,
Wholesale Appliances,27,,
Wholesale Building Materials,27,,
Wholesale Chemical and Allied Products,27,,
Wholesale Computer Equipment,27,,
Wholesale Drugs and Sundries,27,,
Wholesale Food and Beverage,27,,
Wholesale Footwear,27,,
Wholesale Furniture and Home Furnishings,90,,
Wholesale Hardware,27, Heating Equipment,
Wholesale Import and Export,27,,
Wholesale Machinery	Manufacturing,39,,
Wholesale Metals and Minerals,27,,
Wholesale Motor Vehicles and Parts,27,,
Wholesale Paper Products	Manufacturing,27,,
Wholesale Petroleum and Petroleum Products,27,,
Wholesale Photographic Equipment and Supplies,27,,
Wholesale Raw Farm Products,27,,
Wholesale Recyclable Materials,27,,
Wind Electric Power Generation,,,
Wineries,,,
Wireless Services,78,,
Women's Handbag Manufacturing,,,
Wood Product Manufacturing,,,
Writing and Editing,,,
Zoos and Botanical Gardens,,,
